accession	product_length	mismatch_forward	mismatch_reverse	forward_start	forward_stop	reverse_start	reverse_stop	product_start	product_stop	taxId	subspecies	superkingdom	phylum	class	order	family	genus	species	amplicon
CP095415.1	515	0	0	234852	234873	235366	235345	234852	235366	161	Treponema pallidum subsp. pallidum	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073574.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073574.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073573.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073573.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073565.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073565.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073567.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073567.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073568.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073568.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073569.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073569.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073570.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073570.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073571.2	515	0	0	283343	283364	283857	283836	283343	283857	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073571.2	515	0	0	234898	234919	235412	235391	234898	235412	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073572.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073572.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073558.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073558.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073559.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073559.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073560.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073560.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073561.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073561.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073562.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073562.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073563.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073563.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073564.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073564.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073552.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073552.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073553.2	515	0	0	283353	283374	283867	283846	283353	283867	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073553.2	515	0	0	234908	234929	235422	235401	234908	235422	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073554.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073554.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073555.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073555.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073576.2	515	0	0	283414	283435	283928	283907	283414	283928	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073576.2	515	0	0	234969	234990	235483	235462	234969	235483	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073556.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073556.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073557.2	515	0	0	283236	283257	283750	283729	283236	283750	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073557.2	515	0	0	234791	234812	235305	235284	234791	235305	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073545.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073545.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073546.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073546.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073547.2	515	0	0	283329	283350	283843	283822	283329	283843	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073547.2	515	0	0	234884	234905	235398	235377	234884	235398	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073548.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073548.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073549.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073549.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073550.2	515	0	0	283331	283352	283845	283824	283331	283845	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073550.2	515	0	0	234886	234907	235400	235379	234886	235400	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073551.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073551.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073538.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073538.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073539.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073539.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073540.2	515	0	0	283335	283356	283849	283828	283335	283849	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073540.2	515	0	0	234890	234911	235404	235383	234890	235404	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073541.2	515	0	0	283340	283361	283854	283833	283340	283854	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073541.2	515	0	0	234895	234916	235409	235388	234895	235409	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073542.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073542.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073543.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073543.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073544.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073544.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073512.2	515	0	0	283411	283432	283925	283904	283411	283925	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073512.2	515	0	0	234966	234987	235480	235459	234966	235480	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073511.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073511.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073510.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073510.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073509.2	515	0	0	283336	283357	283850	283829	283336	283850	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073509.2	515	0	0	234891	234912	235405	235384	234891	235405	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073508.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073508.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073507.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073507.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073504.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073504.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073521.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073521.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073520.2	515	0	0	283243	283264	283757	283736	283243	283757	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073520.2	515	0	0	234798	234819	235312	235291	234798	235312	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073519.2	515	0	0	283377	283398	283891	283870	283377	283891	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073519.2	515	0	0	234932	234953	235446	235425	234932	235446	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073516.2	515	0	0	283333	283354	283847	283826	283333	283847	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073516.2	515	0	0	234888	234909	235402	235381	234888	235402	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073515.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073515.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073514.2	515	0	0	283339	283360	283853	283832	283339	283853	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073514.2	515	0	0	234894	234915	235408	235387	234894	235408	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073513.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073513.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073530.2	515	0	0	283339	283360	283853	283832	283339	283853	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073530.2	515	0	0	234894	234915	235408	235387	234894	235408	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073529.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073529.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073528.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073528.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073527.2	515	0	0	283332	283353	283846	283825	283332	283846	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073527.2	515	0	0	234887	234908	235401	235380	234887	235401	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073526.2	515	0	0	283415	283436	283929	283908	283415	283929	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073526.2	515	0	0	234970	234991	235484	235463	234970	235484	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073525.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073525.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073524.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073524.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073537.2	515	0	0	283338	283359	283852	283831	283338	283852	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073537.2	515	0	0	234893	234914	235407	235386	234893	235407	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073536.2	515	0	0	283356	283377	283870	283849	283356	283870	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073536.2	515	0	0	234911	234932	235425	235404	234911	235425	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073535.2	515	0	0	283339	283360	283853	283832	283339	283853	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073535.2	515	0	0	234894	234915	235408	235387	234894	235408	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073533.2	515	0	0	283337	283358	283851	283830	283337	283851	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073533.2	515	0	0	234892	234913	235406	235385	234892	235406	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073532.2	515	0	0	283334	283355	283848	283827	283334	283848	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
CP073532.2	515	0	0	234889	234910	235403	235382	234889	235403	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	23S_scheme_1
