"Sample_Name","Sanger_Lane_ID_raw","Cleaned_fastq_id","SRR/ENA_Accession","Species","Sample_Year","Citation","Sequencing_Method","Sample_Type","Geo_Country","Continent","TPA_Lineage","Beale2021.TPA.sublineages","TPA.TPE.scheme","Reads_or_assemblies","Proportion-N_>5_mapping+masking_Nichols","Assembly_Length_(total)","Assembly_#_contigs","Assembly_N50","Assembly_ref-sites_%","CheckM-completeness","CheckM-contamination"
"LMNP-1","LMNP-1--cat","LMNP-1--cat.Treponema.ds547120-reads","SRR4308608,SRR4308610,SRR4308611,SRR4308612","TPE","2007","Knauf_2018","Sequence_capture","N/A","Tanzania","Africa","-",NA,"TPE31","reads","6.6327300000000006E-2",1138679,209,11722,99.9162888403548,"99.71","2.15"
"Mexico_A-mcf","15169_6#65","15169_6#65.Treponema.ds2500000-reads","ERR5210584","TPA","1953","Beale_2021_Global-TPA","SureSelect","rabbit inoculation","Mexico","N.America","SS14","Singleton","Singleton","reads","3.68297E-2",1125001,21,149021,98.7160778952522,"100","0"
"NE17","SRR3268707","SRR3268707.Treponema.ds1661286-reads","SRR3268707","TPA","2013","Arora_2016","Sequence_capture","clinical acquired","Netherlands","Europe","SS14","1","1","reads","3.7223699999999998E-2",1127407,10,210411,98.9271984928481,"100","0"
"NE20","SRR3268710","SRR3268710.Treponema.ds473145-reads","SRR3268710","TPA","2013","Arora_2016","Sequence_capture","clinical acquired","Netherlands","Europe","Nichols","8","8","reads","3.9980000000000002E-2",1127714,30,60167,98.9541369897151,"100","0.05"
"Nichols_Houston_E","15169_6#56","15169_6#56.Treponema.ds2500000-reads","ERR2756162","TPA","1912","Beale_2019_Global_TPA","SureSelect","Nichols_rabbit_passage","USA","N.America","Nichols","11","11","reads","3.7982799999999997E-2",1122055,17,172751,98.4575736223855,"100","0"
"Nichols_Houston_J","15169_6#52","15169_6#52.Treponema.ds2500000-reads","ERR2756160","TPA","1912","Beale_2019_Global_TPA","SureSelect","Nichols_rabbit_passage","USA","N.America","Nichols","10","10","reads","3.7082400000000001E-2",1123365,16,206457,98.5725229086908,"100","0"
"Nichols_Houston_O","15169_6#60","15169_6#60.Treponema.ds2500000-reads","ERR2756163","TPA","1912","Beale_2019_Global_TPA","SureSelect","Nichols_rabbit_passage","USA","N.America","Nichols","11","11","reads","3.7165799999999999E-2",1123110,15,597711,98.5501472842573,"100","0"
"Nichols_v2","NC_021490.2","NC_021490.2","NC_021490.2","TPA","1912","Pětrošová_2013","Illumina_+_454","rabbit passage","USA","N.America","Nichols","11","11","assemblies","3.7495800000000003E-2",1139633,1,1139633,100,"100","0"
"NKNP-1","SRR4308606","SRR4308606.Treponema.ds2500000-reads","SRR4308606","TPE","2015","Knauf_2018","Sequence_capture","clinical acquired","Senegal","Africa","-",NA,"TPE40","reads","6.6327300000000006E-2",1142728,33,299213,100.27157865734,"99.97","0.09"
"NL09","22931_6#4","22931_6#4.Treponema.ds2207961-reads","ERR2710610","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.8235499999999999E-2",1130491,14,598764,99.197811927173,"100","0"
"NL10","22931_6#5","22931_6#5.Treponema.ds2500000-reads","ERR2710611","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.6930600000000001E-2",1129687,12,597907,99.1272628995475,"100","0"
"NL11","22931_6#6","22931_6#6.Treponema.ds2500000-reads","ERR2710612","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7290400000000001E-2",1130576,16,208977,99.2052704686509,"99.19","0"
"NL12","22931_6#7","22931_6#7.Treponema.ds726081-reads","ERR2710613","TPA","2016","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.18045",1123120,60,41388,98.5510247597253,"100","0"
"NL13","22931_6#8","22931_6#8.Treponema.ds1618428-reads","ERR2710614","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1522700000000003E-2",1125226,24,274725,98.7358210932818,"99.97","0"
"NL14","22931_6#9","22931_6#9.Treponema.ds2500000-reads","ERR2710615","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.7716899999999998E-2",1130856,13,598825,99.2298397817543,"100","0"
"NL16","22931_6#11","22931_6#11.Treponema.ds2500000-reads","ERR2710617","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.6942000000000003E-2",1130061,12,299527,99.1600804820499,"100","0"
"NL17","22931_6#12","22931_6#12.Treponema.ds778035-reads","ERR2710618","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.15290300000000001",1124916,45,53217,98.7086193537744,"100","0.81"
"NL19","22931_6#13","22931_6#13.Treponema.ds2422288-reads","ERR2710619","TPA","2016","Beale_2019_Global_TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.8600599999999999E-2",1130524,17,171531,99.2007075962174,"100","0"
"PHE120001A","27455_5#1","27455_5#1.Treponema.ds2500000-reads","ERR3684609","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","9.4109300000000007E-2",1152750,470,3665,101.150984571349,"95.94","5.89"
"PHE120003A","27455_8#1","27455_8#1.Treponema.ds2158516-reads","ERR3684739","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.21913099999999999",1087424,775,1656,95.4187883292253,"91.81","14.72"
"PHE120006A","27455_5#2","27455_5#2.Treponema.ds2500000-reads","ERR3684610","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","6.0225399999999998E-2",1142568,171,10958,100.257539049852,"98.9","1.66"
"PHE120007A","27455_4#1","27455_4#1.Treponema.ds2500000-reads","ERR3684564","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.9382399999999998E-2",1134388,49,44529,99.5397641170447,"100","0.05"
"PHE120009B","27455_3#1","27455_3#1.Treponema.ds2500000-reads","ERR3684519","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7546700000000002E-2",1132886,17,172996,99.4079673017542,"100","0"
"PHE120011A","27455_2#1","27455_2#1.Treponema.ds2500000-reads","ERR3684482","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1227E-2",1131431,46,47472,99.2802946211631,"100","0"
"PHE120013A","27455_4#2","27455_4#2.Treponema.ds2500000-reads","ERR3684565","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.56807E-2",1146409,208,8890,100.594577377103,"98.76","4.55"
"PHE120014A","27455_7#1","27455_7#1.Treponema.ds2500000-reads","ERR3684694","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.107478",1148828,394,3967,100.806838692807,"94.68","5.82"
"PHE120016A","27455_7#2","27455_7#2.Treponema.ds2500000-reads","ERR3684695","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.0955799999999999E-2",1144427,201,8877,100.420661739349,"99.17","4.28"
"PHE120019A","27455_4#3","27455_4#3.Treponema.ds2500000-reads","ERR3684566","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","6.4662999999999998E-2",1150289,269,6662,100.935037858679,"98.36","5.91"
"PHE120021A","27455_3#2","27455_3#2.Treponema.ds2500000-reads","ERR3684520","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.66624E-2",1137707,99,19407,99.8309982248671,"98.76","1.88"
"PHE120022A","27455_4#4","27455_4#4.Treponema.ds2500000-reads","ERR3684567","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.120791",1149123,423,3873,100.832724219113,"97.55","7.79"
"PHE120024A","27455_3#3","27455_3#3.Treponema.ds2500000-reads","ERR3684521","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.8802400000000001E-2",1128245,24,126593,99.0007309370648,"100","0"
"PHE120025A","27455_6#1","27455_6#1.Treponema.ds2500000-reads","ERR3684652","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","6.6556699999999996E-2",1143188,228,7017,100.311942528867,"97.55","3.54"
"PHE120026A","27455_2#2","27455_2#2.Treponema.ds2500000-reads","ERR3684483","TPA","2012","unpublished-WSI","SureSelect","Clinical_Swab","UK","Europe","Nichols",NA,"15","reads","4.8873600000000003E-2",1138748,122,15370,99.9223434210838,"100","2.8"
"PHE120027A","27455_6#2","27455_6#2.Treponema.ds2267554-reads","ERR3684653","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.13051199999999999",1145354,434,3745,100.502003715231,"97.84","5.25"
"PHE120028A","27455_6#3","27455_6#3.Treponema.ds2500000-reads","ERR3684654","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.2006200000000006E-2",1148508,243,7274,100.778759477832,"99.57","2.5499999999999998"
"PHE120029A","27455_2#3","27455_2#3.Treponema.ds2007497-reads","ERR3684484","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","15","15","reads","0.13656399999999999",1141955,371,4648,100.203749803665,"97.96","5.34"
"PHE120030A","27455_8#3","27455_8#3.Treponema.ds2500000-reads","ERR3684741","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.110929",1145096,513,3202,100.479364848157,"97.55","6.68"
"PHE120032A","27455_7#3","27455_7#3.Treponema.ds2500000-reads","ERR3684696","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.118849",1150895,495,3145,100.988212872039,"99.3","7.43"
"PHE120033A","29007_3#1","29007_3#1.Treponema.ds2500000-reads","ERR4045383","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","15","15","reads","0.105838",1147395,280,6199,100.681096458246,"97.58","4.58"
"PHE120034A","27455_7#4","27455_7#4.Treponema.ds2059933-reads","ERR3684697","TPA","2012","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.223384",1118403,688,2070,98.1371195814793,"97.96","11.85"
"PHE130036A","27455_4#5","27455_4#5.Treponema.ds2500000-reads","ERR3684568","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.3980699999999998E-2",1133763,64,43381,99.484921900296,"100","0.81"
"PHE130038A","27455_6#4","27455_6#4.Treponema.ds2270395-reads","ERR3684655","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.19903399999999999",1104641,818,1599,96.9295378424458,"93.43","10.81"
"PHE130039A","27455_3#4","27455_3#4.Treponema.ds2500000-reads","ERR3684522","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1142699999999997E-2",1136566,44,55605,99.7308782739707,"100","0.27"
"PHE130040A","27455_1#1","27455_1#1.Treponema.ds2500000-reads","ERR3684450","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.6863899999999998E-2",1133159,15,175066,99.43192238203,"100","0"
"PHE130041A","27455_6#5","27455_6#5.Treponema.ds1937857-reads","ERR3684656","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.204736",1128818,606,2463,99.0510102813801,"97.55","9.74"
"PHE130043A","27455_2#4","27455_2#4.Treponema.ds2500000-reads","ERR3684485","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.0729399999999999E-2",1131119,43,77104,99.2529173865622,"100","0"
"PHE130045A","27455_3#5","27455_3#5.Treponema.ds2500000-reads","ERR3684523","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.3945600000000001E-2",1135242,77,30730,99.6147005220102,"99.6","0.05"
"PHE130046A","27455_6#6","27455_6#6.Treponema.ds2221021-reads","ERR3684657","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.16622100000000001",1138961,571,2589,99.9410336485518,"97.15","6.39"
"PHE130047A","27455_4#6","27455_4#6.Treponema.ds2500000-reads","ERR3684569","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.8202700000000003E-2",1141929,171,12634,100.201468367448,"99.97","0.7"
"PHE130048A","29007_3#15","29007_3#15.Treponema.ds2500000-reads","ERR4045394","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","6","6","reads","9.7184099999999995E-2",1148675,255,7036,100.793413318147,"97.96","4.7"
"PHE130049A","27455_6#7","27455_6#7.Treponema.ds2238189-reads","ERR3684658","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.14158999999999999",1143672,471,3517,100.354412341517,"95.89","8.3699999999999992"
"PHE130050A","27455_6#8","27455_6#8.Treponema.ds2500000-reads","ERR3684659","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.114326",1148955,444,3470,100.817982631251,"97.55","4.46"
"PHE130051A","27847_1#2","27847_1#2.Treponema.ds2173255-reads","ERR3811625","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.242727",1115108,606,2577,97.84799141478,"95.54","7.53"
"PHE130052A","27455_1#2","27455_1#2.Treponema.ds2500000-reads","ERR3684451","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7168399999999997E-2",1133057,13,598870,99.4229721322566,"99.19","0"
"PHE130053A","27455_5#5","27455_5#5.Treponema.ds2500000-reads","ERR3684613","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","6.8974300000000002E-2",1154626,233,7571,101.315598969142,"98.92","2.13"
"PHE130054A","27455_4#8","27455_4#8.Treponema.ds2500000-reads","ERR3684571","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.10763399999999999",1153409,457,3608,101.208810204689,"97.35","5.5"
"PHE130056A","27455_4#9","27455_4#9.Treponema.ds2500000-reads","ERR3684572","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","7.0003700000000002E-2",1157044,388,4329,101.527772537299,"98.76","3.68"
"PHE130060A","27455_7#5","27455_7#5.Treponema.ds2475114-reads","ERR3684698","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.18857699999999999",1116757,654,2210,97.9926871194499,"96.34","9.01"
"PHE130064A","27455_3#6","27455_3#6.Treponema.ds2500000-reads","ERR3684524","TPA","2013","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","3.7922200000000003E-2",1128361,17,598904,99.0109096524934,"100","0"
"PHE140073A","27455_4#10","27455_4#10.Treponema.ds2500000-reads","ERR3684573","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","Singleton","Singleton","reads","3.97642E-2",1131850,51,65608,99.3170608432715,"99.6","1.61"
"PHE140074A","27455_3#7","27455_3#7.Treponema.ds2500000-reads","ERR3684525","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","5.2467199999999999E-2",1144908,183,11953,100.462868309359,"99.17","0.56999999999999995"
"PHE140076A","29007_3#2","29007_3#2.Treponema.ds2500000-reads","ERR4045384","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.18341299999999999",1147308,506,3101,100.673462421674,"95.89","8.49"
"PHE140081A","27455_6#9","27455_6#9.Treponema.ds2500000-reads","ERR3684660","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.13019",1143136,542,2790,100.307379656433,"96.48","6.39"
"PHE140083A","27455_6#10","27455_6#10.Treponema.ds2500000-reads","ERR3684661","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","8.2407499999999995E-2",1149553,307,5747,100.870455664236,"96.7","4.17"
"PHE140084A","27455_7#7","27455_7#7.Treponema.ds2500000-reads","ERR3684700","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","3","3","reads","4.9898699999999997E-2",1136230,96,19367,99.7013950982465,"99.93","1.26"
"PHE140085A","27455_1#3","27455_1#3.Treponema.ds2500000-reads","ERR3684452","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","3.8599700000000001E-2",1133495,16,175188,99.4614055577541,"100","0"
"PHE140089A","27455_2#5","27455_2#5.Treponema.ds2114712-reads","ERR3684486","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","Nichols","14","14","reads","0.120083",1141891,467,3187,100.19813396067,"98.76","9.3000000000000007"
"PHE140090A","27455_8#7","27455_8#7.Treponema.ds2500000-reads","ERR3684745","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","0.15139900000000001",1085644,823,1551,95.2625976959249,"92.72","18.5"
"PHE140093A","27455_5#7","27455_5#7.Treponema.ds2500000-reads","ERR3684615","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.2316899999999998E-2",1132087,47,54578,99.3378570118626,"99.97","0.27"
"PHE140095A","27455_3#8","27455_3#8.Treponema.ds2500000-reads","ERR3684526","TPA","2014","Beale_2021_Global-TPA","SureSelect","Clinical_Swab","UK","Europe","SS14","1","1","reads","4.1750000000000002E-2",1132357,58,40336,99.361548849498,"100","1.61"
