accession	product_length	mismatch_forward	mismatch_reverse	forward_start	forward_stop	reverse_start	reverse_stop	product_start	product_stop	taxId	subspecies	superkingdom	phylum	class	order	family	genus	species	amplicon	region.cluster
CP073513.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073530.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073529.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073528.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073527.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073526.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073525.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073524.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073537.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073536.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073535.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073533.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073532.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073575.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073531.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073503.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073502.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073501.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073500.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073499.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073498.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073497.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073496.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073495.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073494.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073493.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073492.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073491.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073490.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073489.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073488.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073486.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073482.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073481.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073480.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073479.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073477.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073476.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073474.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073473.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073472.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073471.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073470.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073469.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073468.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073467.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073465.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073463.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073458.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073457.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073455.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073454.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073453.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073452.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073451.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073450.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073449.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073443.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073442.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073440.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073438.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073437.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073436.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073435.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073434.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073433.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073431.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073430.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073404.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073428.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073426.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073425.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073424.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073423.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073421.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073420.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073418.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073417.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073415.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073414.2	622	0	0	6250	6271	6871	6850	6250	6871	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073413.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073412.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073411.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073410.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
CP073409.2	622	0	0	6251	6272	6872	6851	6251	6872	160	NA	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema pallidum	all_27	RC1
